date,geo,component,price_index,status,year,month
1981-02-01,"Montréal, Quebec",Land only,20.7,E,1981,2
1981-02-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),32.6,,1981,2
1981-02-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,30.8,,1981,2
1981-02-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,39.9,E,1981,2
1981-02-01,"Toronto, Ontario",Total (house and land),28.5,,1981,2
1981-02-01,"Toronto, Ontario",House only,23.2,,1981,2
1981-02-01,"Toronto, Ontario",Land only,39.3,E,1981,2
1981-02-01,"Hamilton, Ontario",Total (house and land),30.4,,1981,2
1981-02-01,"Hamilton, Ontario",House only,24.9,,1981,2
1981-02-01,"Hamilton, Ontario",Land only,46.0,E,1981,2
1981-02-01,"St. Catharines-Niagara, Ontario",Total (house and land),30.8,,1981,2
1981-02-01,"St. Catharines-Niagara, Ontario",House only,28.6,,1981,2
1981-02-01,"St. Catharines-Niagara, Ontario",Land only,35.6,E,1981,2
1981-02-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34.1,,1981,2
1981-02-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,30.5,,1981,2
1981-02-01,"Kitchener-Cambridge-Waterloo, Ontario",Land only,43.5,E,1981,2
1981-02-01,"London, Ontario",Total (house and land),32.3,,1981,2
1981-02-01,"London, Ontario",House only,27.5,,1981,2
1981-02-01,"London, Ontario",Land only,51.4,E,1981,2
1981-02-01,"Windsor, Ontario",Total (house and land),61.2,,1981,2
1981-02-01,"Windsor, Ontario",House only,64.9,,1981,2
1981-02-01,"Windsor, Ontario",Land only,47.5,E,1981,2
1981-02-01,"Greater Sudbury, Ontario",Total (house and land),55.4,,1981,2
1981-02-01,"Greater Sudbury, Ontario",House only,55.6,,1981,2
1981-02-01,"Greater Sudbury, Ontario",Land only,52.1,E,1981,2
1981-02-01,"Winnipeg, Manitoba",Total (house and land),26.9,,1981,2
1981-02-01,"Winnipeg, Manitoba",House only,29.7,,1981,2
1981-02-01,"Winnipeg, Manitoba",Land only,18.7,E,1981,2
1981-02-01,"Regina, Saskatchewan",Total (house and land),20.2,,1981,2
1981-02-01,"Regina, Saskatchewan",House only,21.2,,1981,2
1981-02-01,"Regina, Saskatchewan",Land only,17.1,E,1981,2
1981-02-01,"Saskatoon, Saskatchewan",Total (house and land),33.0,,1981,2
1981-02-01,"Saskatoon, Saskatchewan",House only,35.8,,1981,2
1981-02-01,"Saskatoon, Saskatchewan",Land only,26.0,E,1981,2
